bioguide_id,office_type,congress_number,start_date,end_date
B000226,sen,1,1789-03-04,1793-03-03
B000546,rep,1,1789-03-04,1791-03-03
B001086,rep,1,1789-03-04,1791-03-03
C000187,rep,1,1789-03-04,1791-03-03
C000538,rep,1,1789-03-04,1791-03-03
C000710,rep,1,1789-03-04,1791-03-03
D000013,sen,1,1789-03-04,1791-03-03
E000155,sen,1,1789-03-04,1791-03-03
F000100,sen,1,1789-03-04,1793-03-03
F000224,rep,1,1789-03-04,1791-03-03
G000012,rep,1,1789-03-04,1791-03-03
G000403,sen,1,1789-03-04,1791-03-03
G000500,rep,1,1789-03-04,1791-03-03
H000368,sen,1,1789-03-04,1795-03-03
H000995,rep,1,1789-03-04,1791-03-03
I000053,sen,1,1789-03-04,1795-03-03
J000182,sen,1,1789-03-04,1791-12-31
J000198,sen,1,1789-03-04,1793-03-03
L000201,sen,1,1789-03-04,1793-03-03
M000031,sen,1,1789-03-04,1791-03-03
M000234,rep,1,1789-03-04,1791-03-03
M000985,sen,1,1789-03-04,1795-03-03
P000092,rep,1,1789-03-04,1791-03-03
P000102,sen,1,1789-03-04,1791-03-03
S000624,rep,1,1789-03-04,1791-03-03
S000961,rep,1,1789-03-04,1791-03-03
V000053,rep,1,1789-03-04,1791-03-03
W000783,rep,1,1789-03-04,1791-03-03
D000324,sen,1,1790-01-01,1793-03-03
W000059,sen,1,1790-01-01,1791-03-03
A000307,rep,1,1789-03-04,1791-03-03
A000307,rep,2,1791-10-24,1793-03-03
B000167,rep,2,1791-10-24,1793-03-03
B001133,sen,2,1791-10-24,1797-03-03
C000009,sen,2,1791-10-24,1797-03-03
C000185,sen,1,1789-03-04,1791-03-03
C000185,sen,2,1791-10-24,1793-03-03
E000147,sen,1,1789-03-04,1791-03-03
E000147,sen,2,1791-10-24,1797-03-03
G000139,rep,1,1789-03-04,1791-03-03
G000139,rep,2,1791-10-24,1793-03-03
H000916,rep,1,1789-03-04,1791-03-03
H000916,rep,2,1791-10-24,1793-03-03
J000036,rep,2,1791-10-24,1793-03-03
K000158,rep,2,1791-10-24,1793-03-03
R000091,sen,1,1789-03-04,1791-03-03
R000091,sen,2,1791-10-24,1793-12-31
R000350,sen,2,1791-10-24,1796-10-15
S000140,rep,2,1791-10-24,1793-03-03
S000242,rep,1,1789-03-04,1791-03-03
S000242,rep,2,1791-10-24,1793-03-03
S000340,rep,2,1791-10-24,1793-03-03
S000349,rep,1,1789-03-04,1791-03-03
S000349,sen,2,1791-10-24,1793-12-31
S000412,rep,1,1789-03-04,1791-03-03
S000412,rep,2,1791-10-24,1793-03-03
S000832,rep,1,1789-03-04,1791-03-03
S000832,rep,2,1791-10-24,1793-03-03
S000866,rep,2,1791-10-24,1793-03-03
S001047,rep,1,1789-03-04,1791-03-03
S001047,rep,2,1791-10-24,1793-03-03
T000403,rep,1,1789-03-04,1791-03-03
T000403,rep,2,1791-10-24,1793-03-03
W000216,rep,2,1791-10-24,1793-03-03
W000352,rep,1,1789-03-04,1791-03-03
W000352,rep,2,1791-10-24,1793-03-03
W000551,rep,1,1789-03-04,1791-03-03
W000551,rep,2,1791-10-24,1793-03-03
W000560,rep,2,1791-10-24,1793-03-03
E000075,sen,2,1792-01-01,1795-03-03
P000473,sen,3,1793-01-10,1796-10-14
A000280,rep,3,1793-12-02,1795-03-03
B000282,rep,3,1793-12-02,1795-03-03
B000661,rep,1,1789-03-04,1791-03-03
B000661,rep,2,1791-10-24,1793-03-03
B000661,rep,3,1793-12-02,1795-03-03
B000671,rep,2,1791-10-24,1793-03-03
B000671,rep,3,1793-12-02,1795-03-03
B000739,sen,3,1793-12-02,1797-12-31
C000012,rep,1,1789-03-04,1791-03-03
C000012,rep,3,1793-12-02,1795-03-03
C000163,rep,3,1793-12-02,1795-03-03
C000418,rep,2,1791-10-24,1793-03-03
C000418,rep,3,1793-12-02,1795-03-03
C000545,rep,3,1793-12-02,1795-03-03
C000591,rep,3,1793-12-02,1795-03-03
D000157,rep,3,1793-12-02,1795-03-03
E000060,rep,3,1793-12-02,1795-03-03
F000178,rep,1,1789-03-04,1791-03-03
F000178,rep,2,1791-10-24,1793-03-03
F000178,rep,3,1793-12-02,1795-03-03
F000282,rep,3,1793-12-02,1795-03-03
F000368,sen,3,1793-12-02,1797-03-03
G000211,rep,3,1793-12-02,1795-03-03
G000311,rep,2,1791-10-24,1793-03-03
G000311,rep,3,1793-12-02,1795-03-03
G000466,rep,1,1789-03-04,1791-03-03
G000466,rep,2,1791-10-24,1793-03-03
G000466,rep,3,1793-12-02,1795-03-03
H000750,rep,3,1793-12-02,1795-03-03
I000035,rep,3,1793-12-02,1795-03-03
L000178,rep,2,1791-10-24,1793-03-03
L000178,rep,3,1793-12-02,1795-03-03
L000200,rep,1,1789-03-04,1791-03-03
L000200,rep,2,1791-10-24,1793-03-03
L000200,rep,3,1793-12-02,1795-03-03
M000166,sen,3,1793-12-02,1799-03-03
M000424,rep,3,1793-12-02,1795-03-03
M000622,rep,3,1793-12-02,1795-03-03
M000645,rep,2,1791-10-24,1793-03-03
M000645,rep,3,1793-12-02,1795-03-03
M000828,sen,3,1793-12-02,1795-03-03
M000873,rep,3,1793-12-02,1795-03-03
N000055,rep,3,1793-12-02,1795-03-03
N000109,rep,2,1791-10-24,1793-03-03
N000109,rep,3,1793-12-02,1795-03-03
P000320,rep,3,1793-12-02,1795-03-03
S000186,rep,1,1789-03-04,1791-03-03
S000186,rep,3,1793-12-02,1795-03-03
S001009,sen,1,1789-03-04,1793-03-03
S001009,sen,3,1793-12-02,1797-03-03
T000019,rep,3,1793-12-02,1795-03-03
T000361,rep,2,1791-10-24,1793-03-03
T000361,rep,3,1793-12-02,1795-03-03
V000039,rep,3,1793-12-02,1795-03-03
V000104,rep,1,1789-03-04,1791-03-03
V000104,rep,2,1791-10-24,1793-03-03
V000104,sen,3,1793-12-02,1799-03-03
W000013,rep,1,1789-03-04,1791-03-03
W000013,rep,2,1791-10-24,1793-03-03
W000013,rep,3,1793-12-02,1795-03-03
W000051,rep,3,1793-12-02,1795-03-03
W000127,rep,2,1791-10-24,1793-03-03
W000127,rep,3,1793-12-02,1795-03-03
W000211,rep,3,1793-12-02,1795-03-03
W000491,rep,3,1793-12-02,1795-03-03
W000633,sen,1,1789-03-04,1793-03-03
W000633,rep,3,1793-12-02,1795-03-03
T000107,sen,3,1794-01-01,1799-03-03
W000114,sen,4,1795-11-16,1796-02-20
A000174,rep,1,1789-03-04,1791-03-03
A000174,rep,2,1791-10-24,1793-03-03
A000174,rep,3,1793-12-02,1795-03-03
A000174,rep,4,1795-12-07,1797-03-03
B000474,sen,4,1795-12-07,1801-03-03
B000563,rep,1,1789-03-04,1791-03-03
B000563,sen,4,1795-12-07,1801-03-03
B000669,rep,1,1789-03-04,1791-03-03
B000669,rep,2,1791-10-24,1793-03-03
B000669,rep,3,1793-12-02,1795-03-03
B000669,rep,4,1795-12-07,1797-03-03
B001014,rep,4,1795-12-07,1797-03-03
C000624,rep,1,1789-03-04,1791-03-03
C000624,rep,3,1793-12-02,1795-03-03
C000624,rep,4,1795-12-07,1797-03-03
C000848,rep,4,1795-12-07,1797-03-03
D000178,rep,3,1793-12-02,1795-03-03
D000178,rep,4,1795-12-07,1797-03-03
D000578,rep,3,1793-12-02,1795-03-03
D000578,rep,4,1795-12-07,1797-03-03
E000010,rep,4,1795-12-07,1797-03-03
G000173,rep,3,1793-12-02,1795-03-03
G000173,rep,4,1795-12-07,1797-03-03
G000434,rep,2,1791-10-24,1793-03-03
G000434,rep,3,1793-12-02,1795-03-03
G000434,rep,4,1795-12-07,1797-03-03
G000526,sen,1,1789-03-04,1795-03-03
G000526,sen,4,1795-12-07,1801-03-03
H000148,rep,3,1793-12-02,1795-03-03
